응답ID,응답일시,이용자유형,주이용서비스,종합만족도,추천의향,자유의견
R001,2026-03-02,연구자,논문검색,4,7,"검색 속도는 빠른데 해외 저널 원문 연결이 자주 끊겨서 불편합니다."
R002,2026-03-02,대학원생,연구데이터,2,3,"다운로드가 너무 느리고 자꾸 로그인이 풀려요. 개선 부탁드립니다."
R003,2026-03-03,기업,특허검색,5,9,"전반적으로 만족합니다. 특히 특허 분류 필터가 유용해요."
R004,2026-03-03,연구자,동향분석,1,1,"정말 '대단한' 서비스네요. 보고서 하나 받는 데 3번이나 튕겼습니다."
R005,2026-03-04,대학원생,논문검색,3,6,"없음"
R006,2026-03-04,기타,논문검색,4,8,"구내식당 메뉴가 좀 별로예요."
R007,2026-03-05,연구자 ,보고서검색,2,4,"타 기관 서비스보다 검색 결과 정확도가 떨어집니다."
R008,2026-03-05,대학원생,연구데이터,5,7,""
R009,2026-03-06,공공기관,동향분석,4,7,"동향 리포트 품질은 좋은데 모바일에서는 표가 깨져서 PC로만 봐야 해요."
R010,2026-03-06,기업,특허검색,3,6,"검색은 잘 되는데 결과가 너무 많아서 원하는 걸 찾기 어렵네요. 정렬 옵션이 더 있으면 좋겠어요."
R011,2026-03-09,연구자,논문검색,4,3,"예전엔 매일 썼는데 요즘은 다른 데서 찾게 되네요."
R012,2026-03-09,대학원생,논문검색,2,2,"search results are not accurate and too slow. 개선 바랍니다."
R013,2026-03-10,교수,보고서검색,5,10,"강의자료 찾기 편합니다. 만족해요."
R014,2026-03-10,교원,논문검색,4,8,"..."
R015,2026-03-11,기업,연구데이터,1,1,"데이터 포맷이 제각각이라 정제하는 데만 반나절 걸립니다. 표준화가 시급합니다."
R016,2026-03-11,연구자,동향분석,3,5,"괜찮습니다만 가격이 부담돼요."
R017,2026-03-12,대학원생,논문검색,4,9,"전반적으로 좋아요 👍"
R018,2026-03-12,공공기관,보고서검색,2,3,"로그인 단계가 너무 복잡하고 인증서를 매번 다시 깔아야 해요."
R019,2026-03-13,기업,특허검색,5,7,"특이사항 없음"
R020,2026-03-13,연구자,논문검색,3,4,"검색은 빠른데 정확도가 떨어지고, 모바일 앱은 자주 멈추고, 고객센터 응답도 느려요."
R021,2026-03-16,대학원생,연구데이터,4,8,"용량 큰 데이터도 잘 받아져서 좋아요."
R022,2026-03-16,기타,동향분석,1,5,"환불은 어떻게 하나요?"
R023,2026-03-17,연구자,보고서검색,4,6,"원문 PDF 화질이 낮아 인쇄하면 글자가 흐려요."
R024,2026-03-17,교수,논문검색,5,10,"인용정보까지 한 번에 보여서 논문 쓸 때 시간 많이 절약됩니다."
R025,2026-03-18,대학원생,논문검색,2,8,"지금도 좋은데 인용 알림 기능이 있으면 완벽할 것 같아요."
R026,2026-03-18,기업,연구데이터,3,5,"API 문서가 부실해서 연동하는 데 애먹었습니다."
R027,2026-03-19,공공기관,동향분석,4,7,"리포트 자동 요약 기능 추가해 주세요."
R028,2026-03-19,연구자,논문검색,7,9,"만족합니다."
R029,2026-03-20,대학원생,보고서검색,4,6,"검색 필터에 발행연도 범위 지정이 안 돼서 불편해요."
R030,2026-03-20,기업,특허검색,1,1,"결제하고 며칠째 접속이 안 됩니다. 빨리 처리해주세요!!"
